,original,item,number,answer,lemma,pos,gram,sems,rel
150,В вопросе командира ясно слышался упрёк солдату.,В вопросе,3,командира,командир,S,"муж,род,ед",{'командир (начальник)': 'командир (начальник)>военный руководитель>военнослужащий>воин (человек)>человек по сфере деятельности>человек>субъект деятельности>постоянная сущность>'},"{'командир (начальник)': {'antonyms': [], 'domains': ['оборона государства', 'вооруженный конфликт'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['ординарец']}}"
151,В вопросе командира ясно слышался упрёк солдату.,В вопросе командира,4,ясно,ясно,ADV,,,
152,В вопросе командира ясно слышался упрёк солдату.,В вопросе командира ясно,5,слышался,слышаться,V,"несов,прош,ед,изъяв,муж","{'раздаться, прозвучать': 'раздаться, прозвучать>появиться, возникнуть, начаться>произойти, случиться>'}","{'раздаться, прозвучать': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['издать звук'], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
153,В вопросе командира ясно слышался упрёк солдату.,В вопросе командира ясно слышался,6,упрёк,упрек,S,"муж,вин,ед","{'упрек': 'упрек>высказывание (то, что высказано)>суждение>абстрактная сущность>постоянная сущность>'}","{'упрек': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
154,В вопросе командира ясно слышался упрёк солдату.,В вопросе командира ясно слышался упрёк,7,солдату,солдат,S,"муж,дат,ед",{'солдат': 'солдат>рядовой состав>военнослужащий>воин (человек)>человек по сфере деятельности>человек>субъект деятельности>постоянная сущность>'},"{'солдат': {'antonyms': [], 'domains': ['оборона государства', 'вооруженный конфликт'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['походная выкладка']}}"
155,В магазине Андрей купил молоко‚ сметану‚ творог.,,1,в,в,PR,,,
156,В магазине Андрей купил молоко‚ сметану‚ творог.,В,2,магазине,магазин,S,"муж,пр,ед","{'магазин для патронов': 'магазин для патронов>вместилище>место в пространстве>физическая сущность>постоянная сущность>', 'магазин': 'магазин>предприятие розничной торговли>торговая организация>продавец>субъект деятельности>постоянная сущность>'}","{'магазин для патронов': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': ['стрелковое оружие'], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['патрон (боеприпасы)', 'обойма для патронов']}, 'магазин': {'antonyms': [], 'domains': ['экономика', 'торговля'], 'domain_items': [], 'meronyms': ['прилавок'], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['интернет-магазин', 'телемагазин', 'владелец магазина', 'шоппинг']}}"
157,В магазине Андрей купил молоко‚ сметану‚ творог.,В магазине,3,андрей,андрей,S,"имя,им,ед",,
158,В магазине Андрей купил молоко‚ сметану‚ творог.,В магазине Андрей,4,купил,купить,V,"сов,прош,ед,изъяв,муж","{'купить, подкупать': 'купить, подкупать>дать, вручить>выдать (дать, вручить)>отдать, дать, предоставить>действие, целенаправленное действие>', 'покупка (деятельность)': 'покупка (деятельность)>приобрести, стать владельцем>получить в распоряжение>действие, целенаправленное действие>'}","{'купить, подкупать': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'покупка (деятельность)': {'antonyms': [], 'domains': ['денежная наличность', 'экономика', 'торговля'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['пробивание чека', 'прицениться к товару'], 'conclusions': ['торговля'], 'causes': [], 'effects': [], 'related': []}}"
159,В магазине Андрей купил молоко‚ сметану‚ творог.,В магазине Андрей купил,5,молоко,молоко,S,"сред,вин,ед","{'молоко (продукция)': 'молоко (продукция)>напиток>продукты питания>продовольствие>вещество>физическая сущность>постоянная сущность>', 'молоко млекопитающих': 'молоко млекопитающих>жидкость в организме>жидкость>вещество>физическая сущность>постоянная сущность>', 'млечный сок': 'млечный сок>сок растения>лечебные формы растений>лекарственная форма>вариант, разновидность>'}","{'молоко (продукция)': {'antonyms': [], 'domains': ['сельское хозяйство', 'животноводство'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['технология переработки молока', 'бешамель', 'молоко млекопитающих', 'побочные продукты переработки молока', 'молочный скот', 'доение', 'молоковоз']}, 'молоко млекопитающих': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['молоко (продукция)', 'млекопитающее', 'лактация']}, 'млечный сок': {'antonyms': [], 'domains': ['фармакология', 'медицина', 'физиологическая наука', 'биология'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
160,В магазине Андрей купил молоко‚ сметану‚ творог.,В магазине Андрей купил молоко‚,6,сметану,сметана,S,"жен,вин,ед",{'сметана': 'сметана>кисломолочные продукты>молочная продукция>мясомолочные продукты>скоропортящиеся продукты>продукты питания>продовольствие>вещество>физическая сущность>постоянная сущность>'},"{'сметана': {'antonyms': [], 'domains': ['экономика'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
161,В магазине Андрей купил молоко‚ сметану‚ творог.,В магазине Андрей купил молоко‚ сметану‚,7,творог,творог,S,"муж,вин,ед",{'творог': 'творог>кисломолочные продукты>молочная продукция>мясомолочные продукты>скоропортящиеся продукты>продукты питания>продовольствие>вещество>физическая сущность>постоянная сущность>'},"{'творог': {'antonyms': [], 'domains': ['экономика'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['пасха (сладкое кушанье)', 'ватрушка', 'творожник']}}"
162,Вдалеке за рекой виднелись крыши старинного замка.,,1,вдалеке,вдалеке,ADV,,,
163,Вдалеке за рекой виднелись крыши старинного замка.,Вдалеке,2,за,за,PR,,,
164,Вдалеке за рекой виднелись крыши старинного замка.,Вдалеке за,3,рекой,река,S,"жен,твор,ед","{'лавина (движущаяся масса)': 'лавина (движущаяся масса)>поток (движущаяся масса)>физический объект>физическая сущность>постоянная сущность>', 'река': 'река>природный водоток>водный объект>географический объект>место в пространстве>физическая сущность>постоянная сущность>'}","{'лавина (движущаяся масса)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'река': {'antonyms': [], 'domains': ['географические науки'], 'domain_items': [], 'meronyms': ['водопад', 'русло реки', 'участок реки', 'омут реки'], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['паводок', 'пойма', 'речной транспорт', 'прудить', 'бассейн водного объекта', 'разлиться, выйти из берегов', 'внутренний водный транспорт', 'набережная', 'гидроэлектростанция', 'водораздел рек', 'вытечь (о реке брать начало)', 'вскрытие льда', 'впадение реки, потока', 'речной шлюз', 'каньон', 'спуститься по течению реки', 'пресная вода', 'стрелка рек', 'шуга', 'старица реки']}}"
165,Вдалеке за рекой виднелись крыши старинного замка.,Вдалеке за рекой,4,виднелись,виднеться,V,"несов,прош,мн,изъяв",{'виднеться': 'виднеться>отношение между сущностями>'},"{'виднеться': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['появиться, показаться'], 'conclusions': ['видеть, воспринимать зрением'], 'causes': [], 'effects': [], 'related': []}}"
166,Вдалеке за рекой виднелись крыши старинного замка.,Вдалеке за рекой виднелись,5,крыши,крыша,S,"жен,им,мн","{'кровля крыши': 'кровля крыши>покрытие (строительная конструкция)>строительные конструкции>продукт труда>постоянная сущность>', 'крыша строения': 'крыша строения>строительные конструкции>продукт труда>постоянная сущность>'}","{'кровля крыши': {'antonyms': [], 'domains': ['промышленность'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['кровельные работы']}, 'крыша строения': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': ['сооружение, постройка'], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['кровельные работы', 'чердак', 'пентхаус', 'стропило']}}"
167,Вдалеке за рекой виднелись крыши старинного замка.,Вдалеке за рекой виднелись крыши,6,старинного,старинный,A,"род,ед,полн,муж","{'давний, давно существующий': 'давний, давно существующий>длительный, долгий>большой, значительный>свойство, характеристика>', 'старинный (древний)': 'старинный (древний)>древний (очень давний)>давний (далекий по времени)>прошлый, прежний>статус>роль, положение, место>'}","{'давний, давно существующий': {'antonyms': [], 'domains': ['время, продолжительность'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'старинный (древний)': {'antonyms': [], 'domains': ['время, продолжительность'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
168,Вдалеке за рекой виднелись крыши старинного замка.,Вдалеке за рекой виднелись крыши старинного,7,замка,замок,S,"муж,род,ед","{'средневековый замок': 'средневековый замок>крепость (оборонительное сооружение)>военное укрепление>военный объект>сооружение, постройка>физический объект>физическая сущность>постоянная сущность>', 'замок для запирания': 'замок для запирания>запор, запорное устройство>приспособление (предмет)>предмет, вещь>физический объект>физическая сущность>постоянная сущность>'}","{'средневековый замок': {'antonyms': [], 'domains': ['вооруженный конфликт', 'оборона государства'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'замок для запирания': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': ['защелка замка'], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['ключ к замку']}}"
169,Коробку с подарками украшал бант огромного размера.,,1,коробку,коробка,S,"жен,вин,ед","{'коробка (вместилище)': 'коробка (вместилище)>ящик (вместилище)>вместилище>место в пространстве>физическая сущность>постоянная сущность>', 'коробка здания': 'коробка здания>остов, каркас>опора, опорная часть>физическая сущность>постоянная сущность>'}","{'коробка (вместилище)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'коробка здания': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': ['здание'], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
170,Коробку с подарками украшал бант огромного размера.,Коробку,2,с,с,PR,,,
171,Коробку с подарками украшал бант огромного размера.,Коробку с,3,подарками,подарок,S,"муж,твор,мн","{'подарок': 'подарок>приобретение, приобретенный объект>предмет, вещь>физический объект>физическая сущность>постоянная сущность>'}","{'подарок': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
172,Коробку с подарками украшал бант огромного размера.,Коробку с подарками,4,украшал,украшать,V,"прош,ед,изъяв,муж,несов,пе","{'украсить собой': 'украсить собой>наличие, наличествовать>существовать, быть, иметься>обстоятельства, обстановка, условия>', 'украсить': 'украсить>придавать вид>изменить, сделать иным>обуславливать, способствовать>влиять, воздействовать>отношение между сущностями>'}","{'украсить собой': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'украсить': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': ['украситься'], 'related': []}}"
173,Коробку с подарками украшал бант огромного размера.,Коробку с подарками украшал,5,бант,бант,S,"муж,им,ед","{'бант, бантик': 'бант, бантик>лента из ткани>полоска ткани>полоса (кусок)>кусок (отдельная часть)>предмет, вещь>физический объект>физическая сущность>постоянная сущность>'}","{'бант, бантик': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
174,Коробку с подарками украшал бант огромного размера.,Коробку с подарками украшал бант,6,огромного,огромный,A,"род,ед,полн,муж","{'огромный по размеру, степени': 'огромный по размеру, степени>большой, значительный>свойство, характеристика>', 'огромный по количеству': 'огромный по количеству>большой, многочисленный>большой, значительный>свойство, характеристика>'}","{'огромный по размеру, степени': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'огромный по количеству': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
175,Коробку с подарками украшал бант огромного размера.,Коробку с подарками украшал бант огромного,7,размера,размер,S,"муж,род,ед","{'количество, величина, число': 'количество, величина, число>свойство, характеристика>абстрактная сущность>постоянная сущность>', 'протяженность': 'протяженность>количественный параметр>отличительное свойство>свойство, характеристика>абстрактная сущность>постоянная сущность>', 'степень (сравнительная величина)': 'степень (сравнительная величина)>свойство, характеристика>абстрактная сущность>постоянная сущность>', 'стихотворный размер': 'стихотворный размер>фрагмент текста>составная часть>'}","{'количество, величина, число': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['количественная зависимость', 'нумерология', 'обнулить', 'спектр значений', 'шкала (система величин)', 'уменьшить', 'увеличить']}, 'протяженность': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['подогнать под размер', 'единица длины', 'укоротить длину', 'укоротиться, уменьшиться в длину']}, 'степень (сравнительная величина)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['оценить, дать оценку']}, 'стихотворный размер': {'antonyms': [], 'domains': ['филология'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['метрика (учение о стихотворных метрах)', 'стихотворная стопа']}}"
176,Обещают‚ что в этом году лето будет жарким.,,1,обещают,обещать,V,"пе,непрош,мн,изъяв,3-л,несов","{'обещать, внушать надежду': 'обещать, внушать надежду>внушить мысль, чувство>вызвать мысль, чувство>вызвать, породить>обуславливать, способствовать>влиять, воздействовать>отношение между сущностями>', 'обещать, дать обещание': 'обещать, дать обещание>высказать>действие, целенаправленное действие>'}","{'обещать, внушать надежду': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'обещать, дать обещание': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['сдержать обещание'], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
177,Обещают‚ что в этом году лето будет жарким.,Обещают‚,2,что,что,CONJ,,,
178,Обещают‚ что в этом году лето будет жарким.,Обещают‚ что,3,в,в,PR,,,
179,Обещают‚ что в этом году лето будет жарким.,Обещают‚ что в,4,этом,это,SPRO,"ед,пр",,
180,Обещают‚ что в этом году лето будет жарким.,Обещают‚ что в этом,5,году,год,S,"муж,пр,ед",{'год (промежуток времени)': 'год (промежуток времени)>единица времени>единица измерения>абстрактная сущность>постоянная сущность>'},"{'год (промежуток времени)': {'antonyms': [], 'domains': ['время, продолжительность', 'измерение'], 'domain_items': [], 'meronyms': ['календарный месяц', 'полгода', 'квартал года', 'время года'], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['годовщина (календарная дата)', 'среднегодовое значение']}}"
181,Обещают‚ что в этом году лето будет жарким.,Обещают‚ что в этом году,6,лето,лето,S,"ед,им","{'лето': 'лето>время года>климатический сезон>период времени>промежуток времени>время, продолжительность>свойство, характеристика>абстрактная сущность>постоянная сущность>'}","{'лето': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': ['летний месяц'], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['летние олимпийские игры', 'летний отдых']}}"
182,Обещают‚ что в этом году лето будет жарким.,Обещают‚ что в этом году лето,7,будет,быть,V,"нп,непрош,ед,изъяв,3-л","{'пребывать в состоянии': 'пребывать в состоянии>отношение между сущностями>', 'представлять собой, являться': 'представлять собой, являться>отношение между сущностями>', 'находиться, пребывать': 'находиться, пребывать>отношение между сущностями>', 'произойти, случиться': 'произойти, случиться>', 'присутствие (пребывание)': 'присутствие (пребывание)>находиться, пребывать>отношение между сущностями>', 'существовать, быть, иметься': 'существовать, быть, иметься>обстоятельства, обстановка, условия>'}","{'пребывать в состоянии': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'представлять собой, являться': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'находиться, пребывать': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'произойти, случиться': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'присутствие (пребывание)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'существовать, быть, иметься': {'antonyms': ['нереальный, несуществующий'], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
183,Обещают‚ что в этом году лето будет жарким.,Обещают‚ что в этом году лето будет,8,жарким,жаркий,A,"твор,ед,полн,сред","{'жаркий по температуре': 'жаркий по температуре>горячий по температуре>высокий, выше нормы>чрезмерный>ненормальный>отрицательная оценка>свойство, характеристика>'}","{'жаркий по температуре': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
184,На кустах‚ росших по берегам реки‚ появились листочки.,,1,на,на,PR,,,
185,На кустах‚ росших по берегам реки‚ появились листочки.,На,2,кустах,куст,S,"муж,пр,мн",{'кустарник': 'кустарник>растение>живой организм>биологическая сущность>физическая сущность>постоянная сущность>'},"{'кустарник': {'antonyms': [], 'domains': ['ботаника', 'биология'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['подлесок']}}"
186,На кустах‚ росших по берегам реки‚ появились листочки.,На кустах‚,3,росших,расти,V,"несов,прош,пр,мн,прич,полн,действ","{'расти (совершенствоваться)': 'расти (совершенствоваться)>совершенствоваться>улучшение>измениться, изменение>', 'расти, произрастать': 'расти, произрастать>находиться, пребывать>отношение между сущностями>', 'рост живого организма': 'рост живого организма>увеличиться>измениться, изменение>', 'увеличиться': 'увеличиться>измениться, изменение>'}","{'расти (совершенствоваться)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'расти, произрастать': {'antonyms': [], 'domains': ['ботаника'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'рост живого организма': {'antonyms': [], 'domains': ['физиологическая наука', 'биология'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['плодоношение', 'срастись вместе', 'прорасти, дать росток', 'врасти внутрь', 'перерасти, обогнать в росте', 'созревание плодов', 'завязывание плодов'], 'conclusions': ['жить (существовать)'], 'causes': ['растить, выращивать'], 'effects': [], 'related': []}, 'увеличиться': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': ['увеличить'], 'effects': [], 'related': []}}"
187,На кустах‚ росших по берегам реки‚ появились листочки.,На кустах‚ росших,4,по,по,PR,,,
188,На кустах‚ росших по берегам реки‚ появились листочки.,На кустах‚ росших по,5,берегам,берег,S,"муж,дат,мн","{'берег': 'берег>край, кромка>предел, граница>линия, черта>полоса на поверхности>полоса на поверхности, в пространстве>составная часть>'}","{'берег': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': ['прибрежная территория'], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['припай (лед)', 'водный объект', 'берегоукрепление', 'прибой', 'набережная', 'разрушение берегов', 'причаливание к берегу']}}"
189,На кустах‚ росших по берегам реки‚ появились листочки.,На кустах‚ росших по берегам,6,реки,река,S,"жен,род,ед","{'лавина (движущаяся масса)': 'лавина (движущаяся масса)>поток (движущаяся масса)>физический объект>физическая сущность>постоянная сущность>', 'река': 'река>природный водоток>водный объект>географический объект>место в пространстве>физическая сущность>постоянная сущность>'}","{'лавина (движущаяся масса)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'река': {'antonyms': [], 'domains': ['географические науки'], 'domain_items': [], 'meronyms': ['водопад', 'русло реки', 'участок реки', 'омут реки'], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['паводок', 'пойма', 'речной транспорт', 'прудить', 'бассейн водного объекта', 'разлиться, выйти из берегов', 'внутренний водный транспорт', 'набережная', 'гидроэлектростанция', 'водораздел рек', 'вытечь (о реке брать начало)', 'вскрытие льда', 'впадение реки, потока', 'речной шлюз', 'каньон', 'спуститься по течению реки', 'пресная вода', 'стрелка рек', 'шуга', 'старица реки']}}"
190,На кустах‚ росших по берегам реки‚ появились листочки.,На кустах‚ росших по берегам реки‚,7,появились,появляться,V,"нп,прош,мн,изъяв,сов","{'появиться, возникнуть, начаться': 'появиться, возникнуть, начаться>произойти, случиться>', 'появиться, показаться': 'появиться, показаться>'}","{'появиться, возникнуть, начаться': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['произойти от'], 'conclusions': [], 'causes': ['обуславливать, способствовать'], 'effects': [], 'related': []}, 'появиться, показаться': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': ['виднеться'], 'causes': [], 'effects': [], 'related': []}}"
191,На кустах‚ росших по берегам реки‚ появились листочки.,На кустах‚ росших по берегам реки‚ появились,8,листочки,листочек,S,"муж,им,мн","{'лист бумаги': 'лист бумаги>бумажная продукция>целлюлозно-бумажная продукция>промышленная продукция>продукт производства>продукт труда>постоянная сущность>', 'лист растения': 'лист растения>часть растения>биологическая сущность>физическая сущность>постоянная сущность>'}","{'лист бумаги': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': ['поля страницы', 'обратная сторона листа'], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['писчая бумага', 'листать', 'тетрадь', 'скоросшиватель']}, 'лист растения': {'antonyms': [], 'domains': ['ботаника', 'биология'], 'domain_items': [], 'meronyms': [], 'holonyms': ['растение'], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['листопад', 'опасть, осыпаться', 'листва растения']}}"
192,Сломанную вчера розетку сумел починить только электрик.,,1,сломанную,сломать,V,"сов,прош,вин,ед,прич,полн,жен,страд","{'ломать (резко изменять)': 'ломать (резко изменять)>разрушить (нарушить, уничтожить)>нарушить состояние, ход>прекратить, положить конец>принудить, заставить>обуславливать, способствовать>влиять, воздействовать>отношение между сущностями>', 'ломать (повреждать)': 'ломать (повреждать)>портить, делать плохим>повредить>причинение вреда>причинить>обуславливать, способствовать>влиять, воздействовать>отношение между сущностями>', 'ломать на части': 'ломать на части>делить, разделять на части>разъединить, прервать соединение>изменить, сделать иным>обуславливать, способствовать>влиять, воздействовать>отношение между сущностями>'}","{'ломать (резко изменять)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'ломать (повреждать)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['проломать отверстие'], 'conclusions': [], 'causes': [], 'effects': ['ломаться на части'], 'related': []}, 'ломать на части': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': ['ломаться на части'], 'related': []}}"
193,Сломанную вчера розетку сумел починить только электрик.,Сломанную,2,вчера,вчера,ADV,,,
194,Сломанную вчера розетку сумел починить только электрик.,Сломанную вчера,3,розетку,розетка,S,"жен,вин,ед","{'розетка для варенья': 'розетка для варенья>блюдце (тарелка)>тарелка (посуда)>столовая посуда>посуда>кухонная утварь>кухонное оборудование>оборудование>техническое устройство>приспособление (предмет)>предмет, вещь>физический объект>физическая сущность>постоянная сущность>', 'электрическая розетка': 'электрическая розетка>электроустановочные изделия>электротехническое оборудование>инженерное оборудование>оборудование>техническое устройство>приспособление (предмет)>предмет, вещь>физический объект>физическая сущность>постоянная сущность>', 'роза (украшение)': 'роза (украшение)>украшение (предмет)>предмет, вещь>физический объект>физическая сущность>постоянная сущность>'}","{'розетка для варенья': {'antonyms': [], 'domains': ['кулинарное искусство'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['варенье']}, 'электрическая розетка': {'antonyms': [], 'domains': ['электротехника (сфера деятельности)'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['штепсель']}, 'роза (украшение)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
195,Сломанную вчера розетку сумел починить только электрик.,Сломанную вчера розетку,4,сумел,суметь,V,"сов,прош,ед,изъяв,муж","{'мочь, иметь возможность': 'мочь, иметь возможность>обладать свойством>отношение между сущностями>'}","{'мочь, иметь возможность': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
196,Сломанную вчера розетку сумел починить только электрик.,Сломанную вчера розетку сумел,5,починить,починять,V,"пе,инф,сов",,
197,Сломанную вчера розетку сумел починить только электрик.,Сломанную вчера розетку сумел починить,6,только,только,PART,,,
198,Сломанную вчера розетку сумел починить только электрик.,Сломанную вчера розетку сумел починить только,7,электрик,электрик,S,"муж,им,ед",{'электрик': 'электрик>технический персонал>инженерно-технический работник>служащий (работник)>работник>человек>субъект деятельности>постоянная сущность>'},"{'электрик': {'antonyms': [], 'domains': ['электротехника (сфера деятельности)'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['электротехническое оборудование', 'электрический ток']}}"
